slug,kind,basis,period,sales,medPrice,medSqft,medDom,spLp,moi,newListings,yoyPeriod,yoyPrice,yoyPct,sold12mo,types,quarters
aptos,city,month,2026-07,22,1640000,847,15,93.9,3,29,2025-07,1400000,17.1,246,SF,2025-Q3~1400000~72;2025-Q4~1620000~77;2026-Q1~1500000~37;2026-Q2~1385000~65
atherton,city,month,2026-07,12,12250000,2556,9,108.9,1,5,2025-07,11600000,5.6,92,SF,2025-Q3~7195000~17;2025-Q4~13000000~24;2026-Q1~16000000~11;2026-Q2~10000000~31
belmont,city,month,2026-07,13,2200000,1281,56,102.9,1.69,12,2025-07,2480000,-11.3,167,SF,2025-Q3~2310000~39;2025-Q4~2355000~35;2026-Q1~2150000~28;2026-Q2~2375000~64
brisbane,city,month,2026-06,5,1550000,945,15,110.8,0.6,5,2025-06,1475000,5.1,26,SF,2025-Q3~1700000~7;2025-Q4~1200000~5;2026-Q1~2145000~4;2026-Q2~1370000~9
burlingame,city,month,2026-07,29,3738000,1485,15,108.5,0.55,21,2025-07,2860000,30.7,215,SF,2025-Q3~2945000~52;2025-Q4~2807275~44;2026-Q1~3250000~37;2026-Q2~3210000~68
cupertino,city,month,2026-07,20,2850000,1624,12,105.5,1.7,24,2025-07,3500000,-18.6,210,SF,2025-Q3~3400000~53;2025-Q4~3300000~44;2026-Q1~3420000~51;2026-Q2~3375000~60
foster-city,city,month,2026-07,8,2170000,1148,17,103.9,1.13,10,2025-07,1975000,9.9,86,SF,2025-Q3~2150000~31;2025-Q4~2010000~19;2026-Q1~2300000~21;2026-Q2~2300000~16
fremont,city,month,2026-07,81,1657500,1034,12,101.4,1.63,131,2025-07,1870000,-11.4,912,SF,2025-Q3~1722500~266;2025-Q4~1705000~206;2026-Q1~1710000~157;2026-Q2~1785000~274
gilroy,city,month,2026-07,37,1100000,504,27,97.4,2.19,45,2025-07,1199000,-8.3,377,SF,2025-Q3~1150000~97;2025-Q4~1150000~86;2026-Q1~1150000~69;2026-Q2~1150000~120
hillsborough,city,month,2026-07,9,7470000,1770,12,104.9,2.11,13,2025-07,5050000,47.9,135,SF,2025-Q3~5125000~31;2025-Q4~6660000~38;2026-Q1~6750000~25;2026-Q2~6500000~49
mill-valley,city,month,2026-07,20,1975000,1056,26,107.2,0.85,12,2025-07,2150000,-8.1,292,SF,2025-Q3~2150000~69;2025-Q4~2000000~72;2026-Q1~2475000~46;2026-Q2~2610000~113
millbrae,city,month,2026-07,11,2500000,1255,12,105,0.18,9,2025-07,2195000,13.9,123,SF,2025-Q3~2140000~40;2025-Q4~2327500~28;2026-Q1~2200000~25;2026-Q2~2300000~32
mountain-view,city,month,2026-07,20,3061101,1676,16,103.8,1.1,20,2025-07,2725000,12.3,234,SF,2025-Q3~2600000~61;2025-Q4~2800000~56;2026-Q1~2968000~45;2026-Q2~3000000~75
newark,city,month,2026-07,31,1325000,793,24,100.6,1.58,33,2025-07,1460000,-9.2,272,SF,2025-Q3~1400000~86;2025-Q4~1405000~62;2026-Q1~1493500~47;2026-Q2~1390000~73
oakland,city,month,2026-07,195,860000,624,18,113.6,1.87,224,2025-07,875000,-1.7,2133,SF,2025-Q3~863750~542;2025-Q4~898744~544;2026-Q1~897500~418;2026-Q2~1045556~607
pacifica,city,month,2026-07,34,1315000,1011,33,104.6,0.91,26,2025-07,1325000,-0.8,253,SF,2025-Q3~1320000~56;2025-Q4~1275000~63;2026-Q1~1345000~46;2026-Q2~1399900~74
palo-alto,city,month,2026-07,31,4280000,2126,8,108.2,0.87,35,2025-07,4300000,-0.5,421,SF,2025-Q3~4100000~106;2025-Q4~3758000~98;2026-Q1~4060000~76;2026-Q2~4100000~140
redwood-city,city,month,2026-07,52,2503000,1301,13,106,1.17,56,2025-07,2248000,11.3,542,SF,2025-Q3~2150000~127;2025-Q4~2210000~139;2026-Q1~2375000~95;2026-Q2~2350000~176
san-bruno,city,month,2026-07,17,1500000,967,12,104.2,1.12,15,2025-07,1480000,1.4,190,SF,2025-Q3~1412000~74;2025-Q4~1350000~46;2026-Q1~1515000~30;2026-Q2~1458000~52
san-carlos,city,month,2026-07,22,2705000,1408,9,106.9,0.95,28,2025-07,2653000,2,270,SF,2025-Q3~2535000~72;2025-Q4~2550000~68;2026-Q1~2925000~47;2026-Q2~2800000~84
san-francisco,city,month,2026-07,179,2050000,1178,13,125.5,1.07,197,2025-07,1641750,24.9,2392,SF,2025-Q3~1607594~540;2025-Q4~1768333~641;2026-Q1~1950000~431;2026-Q2~2150000~796
san-jose,city,month,2026-07,361,1700000,948,16,99.5,1.53,453,2025-07,1700000,0,4120,SF,2025-Q3~1650000~1125;2025-Q4~1630213~974;2026-Q1~1652672~782;2026-Q2~1687939~1257
san-mateo,city,month,2026-07,58,2121000,1345,11,108.8,0.48,34,2025-07,1930000,9.9,574,SF,2025-Q3~2200000~159;2025-Q4~2001000~146;2026-Q1~2268000~91;2026-Q2~2300000~177
san-rafael,city,month,2026-07,55,1770000,833,18,101.9,1.04,42,2025-07,1350000,31.1,490,SF,2025-Q3~1430000~100;2025-Q4~1320000~119;2026-Q1~1395000~93;2026-Q2~1600000~153
south-san-francisco,city,month,2026-07,22,1240000,933,14,105.9,0.73,22,2025-07,1258000,-1.4,242,SF,2025-Q3~1258000~60;2025-Q4~1285000~64;2026-Q1~1325000~42;2026-Q2~1310000~74
sunnyvale,city,month,2026-07,46,2480000,1413,10,104.7,0.63,52,2025-07,2510000,-1.2,509,SF,2025-Q3~2600000~144;2025-Q4~2600000~107;2026-Q1~2800000~100;2026-Q2~2628000~179
woodside,city,month,2026-07,8,5388000,1365,35,92.2,2.5,8,2025-07,3005000,79.3,85,SF,2025-Q3~3000000~24;2025-Q4~4049000~14;2026-Q1~4200000~14;2026-Q2~5080000~30
aragon,nbhd,quarter,2026-Q2,6,3450000,1496,6,112.2,,,2025-Q2,3275000,5.3,,SF,2025-Q3~2550000~4;2025-Q4~2760000~3;2026-Q1~2750000~1;2026-Q2~3450000~6
baywood,nbhd,quarter,2026-Q2,6,3400000,1417,8,108.1,,,2025-Q2,3275000,3.8,,SF,2025-Q3~4495000~3;2025-Q4~3680000~4;2026-Q1~3625000~2;2026-Q2~3400000~6
baywood-knolls,nbhd,quarter,2026-Q2,5,3800000,1551,7,118.2,,,2025-Q2,3625000,4.8,,SF,2025-Q3~2599000~3;2025-Q4~2730000~4;2026-Q1~3200000~2;2026-Q2~3800000~5
baywood-park,nbhd,quarter,2026-Q2,9,2827500,1364,9,112.1,,,2025-Q2,2500000,13.1,,SF,2025-Q3~2500000~9;2025-Q4~2350000~4;2026-Q1~3050000~9;2026-Q2~2827500~9
beresford-manor,nbhd,quarter,2025-Q4,10,2360000,1296,7,109.7,,,,,,,SF,2025-Q3~2660000~6;2025-Q4~2360000~10;2026-Q1~2631888~1;2026-Q2~2505000~2
bowie-estate,nbhd,quarter,2026-Q2,5,1670000,1246,13,120.2,,,2025-Q2,1238000,34.9,,SF,2025-Q3~1140000~3;2025-Q4~1320000~7;2026-Q1~1680000~4;2026-Q2~1670000~5
eastern-addition,nbhd,quarter,2026-Q2,5,1825000,1135,6,114.2,,,2025-Q2,1350000,35.2,,SF,2025-Q3~1780000~4;2025-Q4~1380000~7;2026-Q1~1725000~3;2026-Q2~1825000~5
fiesta-gardens,nbhd,quarter,2026-Q2,5,2100000,1271,19,104.8,,,2025-Q2,2011000,4.4,,SF,2025-Q3~1700000~5;2025-Q4~2150000~2;2026-Q1~2175000~4;2026-Q2~2100000~5
foothill-terrace,nbhd,quarter,2026-Q2,6,3100000,1381,7,109.8,,,2025-Q2,2725000,13.8,,SF,2025-Q3~2395000~2;2025-Q4~3210000~2;2026-Q1~2260000~1;2026-Q2~3100000~6
harbor-town,nbhd,year,2025,10,1115000,850,25,97,,,2024,1100000,1.4,,ALL,2022~1150000~8;2023~1360000~7;2024~1100000~11;2025~1115000~10
hayward-park,nbhd,quarter,2026-Q1,3,1900000,1043,21,97.2,,,,,,,SF,2025-Q3~3200000~4;2025-Q4~2800000~2;2026-Q1~1900000~3;2026-Q2~3150000~1
homestead,nbhd,quarter,2026-Q2,4,1900000,1516,16,108.1,,,2025-Q2,2660000,-28.6,,SF,2025-Q3~2200000~6;2025-Q4~2612500~3;2026-Q1~2500000~1;2026-Q2~1900000~4
lakeshore,nbhd,year,2025,7,1485000,1227,12,107.3,,,2024,1400000,6.1,,SF,2022~1881800~6;2023~1430000~8;2024~1400000~7;2025~1485000~7
laurelwood-sugarloaf,nbhd,quarter,2026-Q2,11,2490000,1093,13,105.3,,,2025-Q2,2550000,-2.4,,SF,2025-Q3~2370000~13;2025-Q4~2400000~9;2026-Q1~2860000~2;2026-Q2~2490000~11
north-shoreview,nbhd,quarter,2026-Q2,9,1700000,1110,12,118.9,,,2025-Q2,1350000,25.9,,SF,2025-Q3~1310000~5;2025-Q4~1570000~8;2026-Q1~1450000~5;2026-Q2~1700000~9
parkside,nbhd,quarter,2026-Q2,9,1800000,1233,11,112,,,2025-Q2,1770000,1.7,,SF,2025-Q3~1490000~7;2025-Q4~1625000~6;2026-Q1~1399000~1;2026-Q2~1800000~9
san-mateo-highlands,nbhd,quarter,2026-Q2,7,2750000,1567,13,108,,,2025-Q2,2600000,5.8,,SF,2025-Q3~2340000~9;2025-Q4~2690000~9;2026-Q1~2620000~5;2026-Q2~2750000~7
san-mateo-knolls,nbhd,quarter,2026-Q2,3,2400000,1182,49,101.7,,,2025-Q2,2230000,7.6,,SF,2025-Q3~2670000~5;2025-Q4~2100000~7;2026-Q1~1830000~1;2026-Q2~2400000~3
san-mateo-park,nbhd,quarter,2026-Q2,10,5400000,1690,13,104.5,,,2025-Q2,3675000,46.9,,SF,2025-Q3~3900001~10;2025-Q4~3560000~5;2026-Q1~5350000~6;2026-Q2~5400000~10
san-mateo-village,nbhd,quarter,2026-Q2,13,1710000,1545,7,115.5,,,2025-Q2,1770000,-3.4,,SF,2025-Q3~1800000~17;2025-Q4~1555000~6;2026-Q1~2250000~8;2026-Q2~1710000~13
san-mateo-woods-bayridge,nbhd,quarter,2026-Q2,6,1500000,811,12,101.4,,,2025-Q2,1230000,22,,ALL,2025-Q2~1230000~5;2025-Q3~1374000~3;2025-Q4~1520000~1;2026-Q2~1500000~6
shoreview,nbhd,quarter,2026-Q2,13,1525000,1178,13,109.3,,,2025-Q2,1100000,38.6,,SF,2025-Q3~1360000~10;2025-Q4~1300000~9;2026-Q1~1330000~5;2026-Q2~1525000~13
sunnybrae,nbhd,quarter,2026-Q2,15,1800000,1336,12,109.7,,,2025-Q2,1850000,-2.7,,SF,2025-Q3~2080000~12;2025-Q4~1900000~14;2026-Q1~2100000~12;2026-Q2~1800000~15
westwood-knolls,nbhd,quarter,2026-Q2,7,2220000,1414,13,106.7,,,2025-Q2,2000000,11,,SF,2025-Q3~2550000~7;2025-Q4~2000000~9;2026-Q1~2400000~6;2026-Q2~2220000~7
