slug,city,name,types,basis,period,sales,medPrice,medSqft,medDom,spLp,yoyPeriod,yoyPct,noData,noDataDetail
carolands,hillsborough,Carolands,SF,quarter,2026-Q2,7,5900000,1585,20,104,2025-Q2,16.8,,
tobin-clark-estate,hillsborough,Tobin Clark Estate,SF,quarter,2026-Q2,4,6888000,1184,11,90.1,2025-Q2,32.5,,
skyfarm,hillsborough,Skyfarm,SF,year,2025,14,5500000,1274,16,97.3,2024,24.3,,
brewer-subdivision,hillsborough,Brewer Subdivision,SF,year,2025,6,6250000,1782,17,99.3,2024,-50,,
country-club-manor,hillsborough,Country Club Manor,SF,year,2025,6,6530000,1847,28,97.8,2024,4.5,,
hillsborough-park,hillsborough,Hillsborough Park,SF,quarter,2026-Q2,3,6500000,1720,19,105.7,2025-Q2,23.8,,
hillsborough-heights,hillsborough,Hillsborough Heights,SF,quarter,2026-Q2,3,7895000,1864,67,101.1,2025-Q2,57.9,,
hillsborough-hills,hillsborough,Hillsborough Hills,SF,year,2025,12,5450000,1356,30,94.1,2024,-3.6,,
hillsborough-knolls,hillsborough,Hillsborough Knolls,SF,quarter,2026-Q2,3,9000000,1638,75,93.5,,,,
hillsborough-oaks,hillsborough,Hillsborough Oaks,SF,quarter,2026-Q2,4,8250000,1859,5,100.6,,,,
homeplace,hillsborough,Homeplace,SF,quarter,2026-Q2,9,8000000,1639,31,98.5,2025-Q2,51.7,,
lakeview,hillsborough,Lakeview,SF,quarter,2026-Q2,5,5750000,1373,17,107.9,2025-Q2,12.7,,
parrot-drive-area,hillsborough,Parrot Drive Area,SF,none,,,,,,,,,thin,
ryan-tract,hillsborough,Ryan Tract,SF,quarter,2026-Q2,3,7429900,2000,192,83.3,,,,
burlingame-hills,hillsborough,Burlingame Hills,SF,quarter,2026-Q2,6,4325000,1296,8,110,2025-Q2,41.8,,
