slug,city,name,types,basis,period,sales,medPrice,medSqft,medDom,spLp,yoyPeriod,yoyPct,noData,noDataDetail
bayside-manor,millbrae,Bayside Manor,SF,year,2025,4,1368000,1200,13,105.6,2024,1.3,,
capuchino-village,millbrae,Capuchino Village,SF,year,2025,3,1450000,833,13,112.4,2024,13.7,,
downtown-millbrae,millbrae,Downtown Millbrea,SF,year,2025,4,1758000,1158,22,102.8,2024,21.2,,
glenview-highlands,millbrae,Glenview Highlands,SF,quarter,2026-Q2,3,2301000,1285,60,113,,,,
green-hills,millbrae,Green Hills,SF,none,,,,,,,,,thin,
green-hills-country-club,millbrae,Green Hills Country Club,SF,none,,,,,,,,,not-residential,a private golf club
highlands,millbrae,Highlands,SF,quarter,2026-Q2,7,2200000,957,13,106.6,2025-Q2,-12.9,,
lomita-hills,millbrae,Lomita Hills,SF,year,2025,7,1750888,1429,12,119.9,2024,-1.6,,
meadow-glen,millbrae,Meadow Glen,SF,year,2025,5,2303000,1203,12,110.7,2024,15.2,,
millbrae-meadows,millbrae,Millbrae Meadows,SF,quarter,2026-Q2,5,2230000,1267,20,110.3,2025-Q2,12.1,,
mills-estates,millbrae,Mills Estates,SF,quarter,2026-Q2,7,3500000,1277,13,107.7,2025-Q2,32.1,,
millwood,millbrae,Millwood,SF,year,2025,5,1842500,1127,11,110,2024,5.2,,
telescope-hills,millbrae,Telescope Hills,SF,year,2025,3,3000000,975,5,107.9,2024,20,,
